name,birth_place,nationality,province,region,country,latitude,longitude
beba,,,,,,,
alfa,,,,,,,
nerone,,,,,,,
niky savage,Milano,,Milano,Lombardia,Italia,45.4641943,9.1896346
guè pequeno,,,,,,,
skioffi,,,,,,,
club dogo,,,,,,,
hindaco,,,,,,,
fabri fibra,Senigallia,Italia,Ancona,,Italia,43.7149517,13.2179488
miss simpatia,,,,,,,
eva rea,,,,,,,
o zulù,,,,,,,
doll kill,,,,,,,
yeиdry,,,,,,,
johnny marsiglia,,,,,,,
articolo 31,,,,,,,
mistico,,,,,,,
miss keta,,,,,,,
baby k,Singapore,Italia,,,,45.0806268,7.6707168
dargen d_amico,,,,,,,
bushwaka,,,,,,,
99 posse,,,,,,,
bigmama,,,,,,,
nesli,Senigallia,Italia,Ancona,,Italia,43.7149517,13.2179488
brusco,,,,,,,
shablo,Buenos Aires,Argentina,,,,44.8037407,10.1430038
cor veleno,,,,,,,
mike24,,,,,,,
dark polo gang,,,,,,,
colle der fomento,,,,,,,
sottotono,,,,,,,
anna pepe,,,,,,,
samuel heron,,,,,,,
joey funboy,,,,,,,
priestess,,,,,,,
shiva,,,,,,,
caneda,,,,,,,
